Query,Locale,Total Clicks,"Results (Entity, (Clicks;Average Position))"
1 dezembro,pt,3349,"1º Dezembro-Portugal-Team-Futebol (3270;1.0), 1º Dezembro Feminino-Portugal-Team-Futebol (32;3.91), Paulo Fonseca-Portugal-Coach-Futebol-Q10346582 (25;2.0), Afonso Esquito-Portugal-Player-Futebol (8;5.38), UD 1º Dezembro-Portugal-Team-Futebol (3;8.33), Harramiz-Santo Tomé y Príncipe-Player-Futebol-Q16233585 (3;3.0), Wendel-Brasil-Player-Futebol (2;1.0), 1º Dezembro Sub-17-Portugal-Team-Futsal (2;9.0), Sir 1.º Dezembro-Portugal-Team-Futebol (2;5.0), GM 1.º de Dezembro-Portugal-Team-Futebol (2;12.5)"
academica,pt,7288,"Académica OAF-Portugal-Team-Futebol-Q243235 (5940;1.0), Académica SF-Portugal-Team-Futebol (833;2.54), Académica-Portugal-Team-Futsal (78;1.0), Académica-Portugal-Team-Basquetebol (74;2.81), Académica-Portugal-Team-Andebol (49;1.0), Académica-Portugal-Team-Hóquei em Patins (41;2.1), Ac. Santarém-Portugal-Team-Futebol (39;10.15), Sérgio Conceição-Portugal-Player-Futebol-Q317298 (29;2.59), Académica-Portugal-Team-Voleibol (29;1.0), Académica OAF-Portugal-Team-Futsal (26;5.04), Académica SF-Portugal-Team-Futsal (25;6.0), Académica-Portugal-Team-Hóquei em Patins (25;1.2), Rui Borges-Portugal-Coach-Futebol-Q121147850 (14;2.21), Académica SF-Portugal-Team-Voleibol (11;2.0), Académica Sub-23-Portugal-Team-Hóquei em Patins (9;2.56), Académica SF-Portugal-Team-Basquetebol (7;5.0), AA Espinho-Portugal-Team-Voleibol (6;6.67), Sérgio Conceição-Portugal-Coach-Futebol-Q317298 (6;4.17), Académica OAF Sub-15-Portugal-Team-Futebol de Praia (5;2.8), Académica SF-Portugal-Team-Voleibol (5;3.0), Cédric Soares-Portugal-Player-Futebol-Q481330 (4;4.75), Académica-Portugal-Team-Andebol (4;2.0), Académica Sub-16-Portugal-Team-Andebol (3;4.0), AA São Mamede-Portugal-Team-Voleibol (3;9.0), Adrien Silva-Portugal-Player-Futebol-Q2724855 (3;8.33), Éder-Portugal-Player-Futebol-Q273776 (3;8.0), Gonçalo Paciência-Portugal-Player-Futebol-Q16236424 (3;7.0), Wilson Eduardo-Angola-Player-Futebol-Q2074431 (2;18.5), Hugo Almeida-Portugal-Player-Futebol-Q105887 (2;8.0), Académica SF Sub-14-Portugal-Team-Basquetebol (2;6.0), AA Espinho-Portugal-Team-Voleibol (2;12.5), Jesualdo Ferreira-Portugal-Coach-Futebol-Q444073 (2;17.5), Daniel Sousa-Portugal-Coach-Futebol-Q115804715 (2;8.0), Fausto Lourenço-Portugal-Coach-Futebol (2;6.0)"
academico,pt,2491,"Académico-Portugal-Team-Futebol-Q2410944 (2201;1.01), Académico FC-Portugal-Team-Futebol (79;8.11), AFC Martim-Portugal-Team-Futebol (47;2.49), Académico FC-Portugal-Team-Hóquei em Patins (33;1.0), Ac. Fundão-Portugal-Team-Futebol (27;3.22), Académico Feminino-Portugal-Team-Futebol (19;6.53), Rui Borges-Portugal-Coach-Futebol-Q121147850 (18;2.22), Ac. Pedras Rubras-Portugal-Team-Futebol (11;8.36), Acad. Ciências-Portugal-Team-Futsal (10;1.8), Académico FC-Portugal-Team-Basquetebol (7;17.0), Académico FC Sub-23-Portugal-Team-Hóquei em Patins (7;4.0), Académico do Funchal-Portugal-Team-Futebol (7;20.14), CAD-Portugal-Team-Futebol (7;3.86), Académico Sub-21-Portugal-Team-Andebol (6;1.67), Bruno Ramos-Brasil-Player-Futebol (2;6.5), Académico Sub-14-Portugal-Team-Andebol (2;2.0), Académico FC-Portugal-Team-Hóquei em Patins (2;8.0), Académico FC Sub-17-Portugal-Team-Hóquei em Patins (2;6.0), Académico-Portugal-Team-Futsal (2;4.5), Académico FC-Portugal-Team-Basquetebol (2;16.0)"
adceo,pt,2256,"ADCEO-Portugal-Team-Futebol (1281;1.0), ADCEO Sub-15-Portugal-Team-Futebol (498;2.34), ADCEO Sub-19-Portugal-Team-Futebol (229;3.79), ADCEO Sub-17-Portugal-Team-Futebol (161;5.04), ADCEO Sub-16-Portugal-Team-Futebol (22;6.41), ADCEO Feminino-Portugal-Team-Futebol (11;2.64), ADCEO Sub-14-Portugal-Team-Futebol (10;9.9), ADCEO Sub-17-Portugal-Team-Futebol (9;13.0), ADCEO Sub-13-Portugal-Team-Futebol (8;8.75), ADCEO Sub-21-Portugal-Team-Futebol (5;5.4), ADCEO Sub-15-Portugal-Team-Futebol (5;18.0), Pedro Santos-Portugal-Player-Futebol-Q7159785 (4;14.75), ADCEO Sub-23-Portugal-Team-Futebol (4;8.0), ADCEO B-Portugal-Team-Futebol (3;12.0), ADCEO Sub-15-Portugal-Team-Futsal (2;8.5), ADCEO Sub-19-Portugal-Team-Futebol (2;17.0), ADCEO Sub-13-Portugal-Team-Futebol (2;16.0)"
afs,pt,2612,"AFS-Portugal-Team-Futebol (2128;1.0), AFS Sub-19-Portugal-Team-Futebol (259;2.09), AFS Sub-17-Portugal-Team-Futebol (102;3.58), AFS Sub-15-Portugal-Team-Futebol (68;4.99), AFS Sub-13-Portugal-Team-Futebol (24;6.58), AFS Sub-17-Portugal-Team-Futebol (11;10.45), AFS Sub-15-Portugal-Team-Futebol (7;9.86), AFS Sub-19-Portugal-Team-Futebol (5;9.4), Tomás Tavares-Portugal-Player-Futebol-Q65956786 (2;3.5), Gerson Rodrigues-Luxemburgo-Player-Futebol-Q29043184 (2;3.5), Jorge Costa-Portugal-Coach-Futebol (2;8.0), AFS Joaquim José Sousa Marques Série A 18/19-Portugal-Edition-Futebol (2;14.5)"
aguas santas,pt,1532,"GD Águas Santas-Portugal-Team-Futebol (1185;1.0), JD Águas Santas-Portugal-Team-Futebol (77;2.17), Águas Santas-Portugal-Team-Andebol (34;8.97), GD Águas Santas Veteranos-Portugal-Team-Futebol (32;10.0), Águas Santas Rio Covo-Portugal-Team-Futebol (30;4.0), Águas Santas-Portugal-Team-Andebol (29;1.0), GD Águas Santas Sub-17-Portugal-Team-Futebol (26;5.0), JD Águas Santas-Portugal-Team-Futsal (25;2.0), AD Águas Santas-Portugal-Team-Futebol (15;2.73), Águas Santas Sub-18-Portugal-Team-Andebol (9;3.0), GD Águas Santas Sub-15-Portugal-Team-Futebol (9;6.0), GD Águas Santas Sub-19-Portugal-Team-Futebol (9;9.0), Luís Frade-Portugal-Player-Futebol (6;17.83), GD Águas Santas-Portugal-Team-Futsal (6;1.0), Águas Santas Sub-14-Portugal-Team-Andebol (5;2.2), Águas Santas Sub-16-Portugal-Team-Andebol (5;4.0), Pavilhão Municipal de Águas Santas-Portugal-Stadium-Futebol (5;18.6), Pavilhão Associação Atlética Águas Santas-Portugal-Stadium-Futebol (5;17.4), GD Águas Santas Sub-13-Portugal-Team-Futebol (4;7.0), GD Águas Santas Sub-14-Portugal-Team-Futebol (4;8.0), Águas Santas Sub-19-Portugal-Team-Andebol (4;10.0), GD Águas Santas Sub-11-Portugal-Team-Futebol (2;11.0), Águas Santas-Portugal-Team-Andebol (2;8.0), JD Águas Santas Sub-13-Portugal-Team-Futebol (2;12.0), Águas Santas Sub-20-Portugal-Team-Andebol (2;12.0)"
agueda,pt,2307,"RD Águeda-Portugal-Team-Futebol-Q3422531 (2110;1.0), Fermentelos-Portugal-Team-Futebol (46;2.15), UD Mourisquense-Portugal-Team-Futebol (34;3.35), LAAC-Portugal-Team-Futebol (33;5.67), AD Valonguense-Portugal-Team-Futebol (32;4.5), Macinhatense-Portugal-Team-Futebol (29;7.03), Luís Castro-Portugal-Coach-Futebol-Q15896123 (7;6.71), RD Águeda Feminino-Portugal-Team-Futebol (6;9.83), Fábio Cardoso-Portugal-Player-Futebol (3;9.0), RD Águeda Sub-19-Portugal-Team-Futebol (3;18.33), GIC Águeda-Portugal-Team-Andebol (2;15.0), GIC Águeda-Portugal-Team-Futebol (2;10.5)"
ajax,pt,3183,"Ajax-Holanda-Team-Futebol-Q81888 (3128;1.02), Francisco Conceição-Portugal-Player-Futebol-Q99617367 (30;1.97), Zlatan Ibrahimovic-Suecia-Player-Futebol-Q46896 (5;3.2), Clarence Seedorf-Holanda-Player-Futebol-Q484909 (5;9.0), Dani-Portugal-Player-Futebol-Q744556 (4;6.25), David Neres-Brasil-Player-Futebol-Q27801691 (3;3.33), Carlos Forbs-Portugal-Player-Futebol-Q114652561 (2;5.5), Matheus Magalhães-Brasil-Player-Futebol-Q16337914 (2;12.5), Bruno Varela-Cabo Verde-Player-Futebol-Q4979425 (2;11.5), Dennis Bergkamp-Holanda-Player-Futebol-Q185389 (2;19.0)"
al hilal,pt,1672,"Al-Hilal-Arabia Saudí-Team-Futebol-Q73965 (1621;1.27), Neymar-Brasil-Player-Futebol-Q142794 (23;1.61), Jorge Jesus-Portugal-Coach-Futebol-Q527550 (14;2.57), Leonardo Jardim-Portugal-Coach-Futebol-Q2162382 (7;3.86), Al-Hilal Omdurman-Sudán-Team-Futebol (3;16.0), Marcos Leonardo-Brasil-Player-Futebol-Q98534760 (2;6.0), João Cancelo-Portugal-Player-Futebol-Q6298063 (2;5.0)"
al nassr,pt,2971,"Al-Nassr-Arabia Saudí-Team-Futebol-Q482764 (2410;2.0), Cristiano Ronaldo-Portugal-Player-Futebol-Q11571 (348;1.0), Cristiano Ronaldo Jr.-Portugal-Player-Futebol (164;3.02), Al-Nassr-Arabia Saudí-Team-Futsal (16;2.81), Pany Varela-Portugal-Player-Futsal-Q4764703 (10;1.7), Al-Nassr-Arabia Saudí-Team-Basquetebol (5;1.6), Luís Castro-Portugal-Coach-Futebol-Q15896123 (5;4.0), Rui Vitória-Portugal-Coach-Futebol-Q2364249 (4;4.75), Al-Nassr Feminino-Arabia Saudí-Team-Futebol (4;12.75), Otávio-Portugal-Player-Futebol-Q3887042 (3;4.67), Denílson-Brasil-Player-Futebol-Q311641 (2;14.5)"
